Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy,Temperature,Pressure,Phase,Max_Cluster_Size,Avg_Cluster_Size
0,0.0,67585.66997586485,88.31404710950703,67673.98402297436,750.9518886207205,13.434897406089528,GAS,3,1.1111111111111112
10,0.005,64377.166752511075,1336.9165320679738,65714.08328457904,715.3018528056787,14.31428731563509,GAS,3,1.1111111111111112
20,0.01,63624.44330960134,239.58437223796943,63864.02768183931,706.9382589955704,12.840681217325415,GAS,3,1.1111111111111112
30,0.015,62067.46638924501,-0.22334911083802442,62067.24304013418,689.6385154360557,12.235702978145401,GAS,3,1.1111111111111112
40,0.02,60352.32104596783,0.3692633398196418,60352.69030930765,670.5813449551981,11.89883099784368,GAS,3,1.1111111111111112
50,0.025,58650.654772703674,72.30505339296147,58722.95982609664,651.6739419189297,11.65615888889767,GAS,2,1.0909090909090908
60,0.03,56833.45187244456,348.0368933506518,57181.48876579521,631.4827985827174,11.63734373285779,GAS,2,1.0909090909090908
70,0.035,55451.4368734119,272.27202615572116,55723.70889956762,616.1270763712433,11.273341824105128,GAS,2,1.0909090909090908
80,0.04,54282.77364819538,43.75132673883194,54326.52497493422,603.1419294243932,10.76145134703972,GAS,2,1.0909090909090908
90,0.045,52992.49993591834,-1.0312270022183068,52991.46870891612,588.8055548435372,10.449239678004979,GAS,2,1.0909090909090908
100,0.05,51725.78641915,-5.164070415380776,51720.622348734614,574.7309602127777,10.193656484409413,GAS,2,1.1320754716981132
110,0.055,50516.51200688171,-4.69055787905169,50511.82144900266,561.2945778542412,9.956406603242673,GAS,2,1.1320754716981132
120,0.06,49366.17719804653,-4.072446136785791,49362.10475190974,548.5130799782947,9.731705976874272,GAS,2,1.1320754716981132
130,0.065,48264.00116193128,4.615095943327465,48268.61625787461,536.2666795770142,9.5286819308013,GAS,2,1.1320754716981132
140,0.07,46843.94387092061,384.0847179157681,47228.02858883637,520.4882652324512,9.71955925110304,GAS,2,1.1320754716981132
150,0.075,44477.73542235383,1842.0370080097637,46319.77243036359,494.19706024837586,11.010414599787827,GAS,2,1.1320754716981132
160,0.08,45360.084915537365,49.3359642695833,45409.42087980695,504.0009435059707,9.017036141553216,GAS,2,1.1320754716981132
