Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy
0,0.0,133.52805568140369,1329.7853227392598,1463.3133784206634
10,0.005,1374.6597406770488,77.96354676366036,1452.6232874407092
20,0.01,1416.6490328206062,36.14624846924338,1452.7952812898495
30,0.015,1441.0143261438022,11.780490547353743,1452.794816691156
40,0.02,1454.7245643251465,-1.919715749933817,1452.8048485752126
50,0.025,1461.8486798846207,-9.041046857738491,1452.807633026882
60,0.03,1465.4300007994298,-12.626423121570298,1452.8035776778595
70,0.035,1467.1584949148257,-14.35413120278327,1452.8043637120425
80,0.04,1467.8123781146753,-15.007830650609217,1452.804547464066
90,0.045,1467.6407794020965,-14.836332664566791,1452.8044467375298
100,0.05,1466.6127695683244,-13.803086994218429,1452.809682574106
110,0.055,1464.4574921433145,-11.653745076719588,1452.803747066595
120,0.06,1460.7675108795752,-7.952989890225341,1452.8145209893498
130,0.065,1455.7062758539978,-2.890671342966507,1452.8156045110313
140,0.07,1451.0969903932298,1.73165921543643,1452.8286496086662
150,0.075,1449.8619139904054,2.972703269461377,1452.8346172598667
160,0.08,1452.6974808676814,0.13533000333997514,1452.8328108710214
170,0.085,1457.118756572217,-4.287437780599337,1452.8313187916178
180,0.09,1460.7288780682788,-7.892230881774009,1452.836647186505
190,0.095,1462.879439268231,-10.042354919601783,1452.837084348629
200,0.1,1463.891293178086,-11.04826134785869,1452.8430318302273
210,0.105,1464.2228552532313,-11.385024710347832,1452.8378305428835
220,0.11,1464.205060531389,-11.367071979355106,1452.837988552034
230,0.115,1464.0313758248456,-11.182277257213627,1452.849098567632
240,0.12,1463.803408969338,-10.95428102963959,1452.8491279396985
250,0.125,1463.5654327699037,-10.7162925899347,1452.849140179969
260,0.13,1463.3334030982865,-10.473322221300261,1452.860080876986
270,0.135,1463.1084388496404,-10.24835629198215,1452.8600825576582
280,0.14,1462.8904962778188,-10.030411978722919,1452.860084299096
290,0.145,1462.681553127734,-9.826942896805079,1452.854610230929
300,0.15,1462.4866616320737,-9.63751126219157,1452.8491503698822
310,0.155,1462.3117987323635,-9.457124866310478,1452.854673866053
320,0.16,1462.1605761228332,-9.29499980099557,1452.8655763218376
330,0.165,1462.0322434218963,-9.161185362398204,1452.8710580594982
340,0.17,1461.9234012403194,-9.052345404440603,1452.871055835879
350,0.17500000000000002,1461.8321256762804,-8.966479813222957,1452.8656458630574
360,0.18,1461.758835321631,-8.887686050927616,1452.8711492707034
370,0.185,1461.7079998070913,-8.82589211974513,1452.8821076873462
380,0.19,1461.6942113302707,-8.8120805716806,1452.8821307585902
390,0.195,1461.745066472259,-8.857435220680228,1452.8876312515788
400,0.2,1461.8975255074952,-9.004320633857096,1452.893204873638
410,0.20500000000000002,1462.133762745467,-9.235316938527346,1452.8984458069397
420,0.21,1462.0835046113523,-9.180902683585707,1452.9026019277667
430,0.215,1460.052693446486,-7.164620406931569,1452.8880730395545
440,0.22,1452.3113449817529,0.565611149784722,1452.8769561315376
450,0.225,1441.3948003683413,11.49315148086361,1452.887951849205
460,0.23,1444.1046831558692,8.783167365030254,1452.8878505208995
470,0.23500000000000001,1455.482141072979,-2.6066027574032486,1452.8755383155758
480,0.24,1461.104262962475,-8.220302637536944,1452.8839603249382
490,0.245,1462.1970764013054,-9.304788854970827,1452.8922875463345
500,0.25,1462.0512143223148,-9.163565138209856,1452.887649184105
510,0.255,1461.8007162055826,-8.912922536583302,1452.8877936689994
520,0.26,1461.6464439357687,-8.769640354379664,1452.8768035813891
530,0.265,1461.5772547733693,-8.711366682193166,1452.8658880911762
540,0.27,1461.5591093899666,-8.693240509967772,1452.8658688799987
550,0.275,1461.5678828959321,-8.702033219235501,1452.8658496766966
560,0.28,1461.5891258595418,-8.70682654960564,1452.8822993099361
570,0.28500000000000003,1461.6134649141813,-8.731169408591958,1452.8822955055894
580,0.29,1461.636123950631,-8.759305337921678,1452.8768186127093
590,0.295,1461.6585436210723,-8.776243395845654,1452.8823002252266
600,0.3,1461.685413326593,-8.80314041075909,1452.882272915834
610,0.305,1461.722174099843,-8.839898951952911,1452.8822751478901
620,0.31,1461.7721480684731,-8.884389463718422,1452.8877586047547
630,0.315,1461.8296790832262,-8.931006282127932,1452.8986728010982
640,0.32,1461.8787205719495,-8.980083588410938,1452.8986369835386
650,0.325,1461.8916064826535,-9.009407649581396,1452.8821988330722
660,0.33,1461.8314982728475,-8.949302726977924,1452.8821955458695
670,0.335,1461.6572196034888,-8.780562610088829,1452.8766569934
680,0.34,1461.343841159951,-8.472670216478189,1452.8711709434726
690,0.34500000000000003,1460.8909765998442,-8.019783970551845,1452.8711926292924
700,0.35000000000000003,1460.3302816216626,-7.453591295780591,1452.876690325882
710,0.355,1459.7282343671345,-6.84601244329558,1452.8822219238389
720,0.36,1459.1871445932477,-6.310309858746156,1452.8768347345015
730,0.365,1458.82293890842,-5.940602614484249,1452.8823362939356
740,0.37,1458.7296843328168,-5.84184668132194,1452.887837651495
750,0.375,1458.9466241761413,-6.053282919181204,1452.8933412569602
760,0.38,1459.4375365954784,-6.555252401429565,1452.882284194049
770,0.385,1460.1024157027437,-7.225690229249265,1452.8767254734944
780,0.39,1460.810496532056,-7.933846116812752,1452.8766504152434
790,0.395,1461.4509546593756,-8.574341389469886,1452.8766132699056
800,0.4,1461.9632623316465,-9.10306476921961,1452.860197562427
810,0.405,1462.328605967906,-9.468398857028081,1452.860207110878
820,0.41000000000000003,1462.5513470384396,-9.696597591038467,1452.8547494474012
830,0.41500000000000004,1462.660790024867,-9.795077502438609,1452.8657125224286
840,0.42,1462.7072540949316,-9.830627707659133,1452.8766263872724
850,0.425,1462.7513511789437,-9.880300738773593,1452.8710504401702
860,0.43,1462.8600711379318,-9.983494431229566,1452.8765767067023
870,0.435,1463.0803212259925,-10.214817682440497,1452.865503543552
880,0.44,1463.2075153113358,-10.348641984330156,1452.8588733270055
890,0.445,1461.5014750278062,-8.637579598911461,1452.8638954288947
900,0.45,1450.1783227589099,2.665018590927205,1452.8433413498371
910,0.455,1418.9952406347056,33.87988808447245,1452.875128719178
920,0.46,1412.2307955644542,40.64920104106613,1452.8799966055203
930,0.465,1421.6169410689452,31.171907563574642,1452.7888486325198
940,0.47000000000000003,1358.6693671614807,94.25627687142918,1452.92564403291
950,0.47500000000000003,1390.2546231133138,62.57671219804112,1452.831335311355
960,0.48,1450.6817177334042,2.1528621213853083,1452.8345798547896
970,0.485,1462.1102816875211,-9.229346929736314,1452.8809347577849
980,0.49,1462.8717267265292,-9.98476070193983,1452.8869660245894
990,0.495,1462.4543915270942,-9.572136218644802,1452.8822553084494
1000,0.5,1462.1329943731607,-9.234258502738884,1452.898735870422
1010,0.505,1461.971437766514,-9.072752449208053,1452.898685317306
1020,0.51,1461.913819521118,-9.020668139552736,1452.8931513815653
1030,0.515,1461.9185530255386,-9.025419980907017,1452.8931330446317
1040,0.52,1461.9618501884602,-9.074260149586872,1452.8875900388732
1050,0.525,1462.034464509356,-9.141401162878589,1452.8930633464774
1060,0.53,1462.1306279163634,-9.243037764504926,1452.8875901518586
1070,0.535,1462.2487604107196,-9.361170850707449,1452.8875895600122
1080,0.54,1462.3882597486318,-9.500646734577309,1452.8876130140545
1090,0.545,1462.5493157572319,-9.65072267192765,1452.8985930853041
