Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy
0,0.0,2125.932393773885,8039.40211890874,10165.334512682624
10,0.005,10923.850827632883,48.90820420034773,10972.759031833231
20,0.01,10964.542415500275,8.222275375442752,10972.764690875718
30,0.015,10968.32920822279,4.370065602569963,10972.699273825361
40,0.02,10947.25464328063,25.608013643255333,10972.862656923886
50,0.025,10980.291016755553,-7.535048144570892,10972.755968610982
60,0.03,10979.82557949182,-7.0618481701800455,10972.76373132164
70,0.035,10979.244059801964,-6.497294950542287,10972.746764851421
80,0.04,10979.098951470369,-6.340670248839167,10972.75828122153
90,0.045,10979.558079164255,-6.801434431743218,10972.756644732512
100,0.05,10979.603275472333,-6.8287099847103025,10972.774565487622
110,0.055,10979.585561042111,-6.810957439766393,10972.774603602345
120,0.06,10979.584612320159,-6.800765005861113,10972.783847314298
130,0.065,10978.986035801034,-6.189494828047173,10972.796540972986
140,0.07,10978.559716396587,-5.768926395929013,10972.790790000658
150,0.075,10978.304250588057,-5.508219986069192,10972.796030601987
160,0.08,10978.108233111348,-5.32302633455727,10972.78520677679
170,0.085,10978.001168842708,-5.199214950045233,10972.801953892662
180,0.09,10977.95794486541,-5.15620314512506,10972.801741720285
190,0.095,10977.944610852059,-5.148309639240523,10972.796301212818
200,0.1,10977.968768744595,-5.1669582445542925,10972.801810500041
210,0.105,10978.096837089754,-5.2947863912825595,10972.80205069847
220,0.11,10978.654822629014,-5.847165044368733,10972.807657584646
230,0.115,10973.991618961149,-1.2910652256111346,10972.700553735538
240,0.12,10882.220022921576,91.10053341662353,10973.3205563382
250,0.125,10974.936260971483,-2.23857610259826,10972.697684868885
260,0.13,10978.645266195346,-5.8534153245551295,10972.791850870792
270,0.135,10978.340868788495,-5.549281633876493,10972.791587154617
280,0.14,10978.678741694144,-5.877050382635039,10972.80169131151
290,0.145,10978.975241810076,-6.173972229376261,10972.8012695807
300,0.15,10978.768899332703,-5.967552963976833,10972.801346368726
310,0.155,10978.218874280743,-5.416961093153153,10972.80191318759
320,0.16,10977.844568859337,-5.0481968281417045,10972.796372031195
330,0.165,10977.74083353449,-4.950270630533293,10972.790562903956
340,0.17,10977.743679819254,-4.931516220614386,10972.812163598639
350,0.17500000000000002,10977.598862356002,-4.769915054590653,10972.828947301412
360,0.18,10977.522637998964,-4.687854506396126,10972.834783492568
370,0.185,10977.828008497621,-5.01033252797783,10972.817675969643
380,0.19,10978.140512876926,-5.328645418828236,10972.811867458098
390,0.195,10978.1590056085,-5.346640846080046,10972.81236476242
400,0.2,10978.530888706748,-5.712779538307414,10972.81810916844
410,0.20500000000000002,10974.690335849251,-1.944480622316211,10972.745855226935
420,0.21,10952.092787715219,20.80181113373179,10972.89459884895
430,0.215,10978.900847626504,-6.120444368717161,10972.780403257788
440,0.22,10979.022269825204,-6.22585783192819,10972.796411993275
450,0.225,10978.888664234335,-6.092674351590614,10972.795989882745
