Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy,Temperature,Pressure,Phase,Max_Cluster_Size,Avg_Cluster_Size
0,0.0,61667.824787399215,31.82662654716405,61699.651413946376,685.1980531933247,12.195195264983877,GAS,2,1.0909090909090908
10,0.005,59992.53167835212,11.719046979328459,60004.25072533145,666.5836853150236,11.840695141296665,GAS,2,1.0909090909090908
20,0.01,58388.768905041354,2.2248889959859537,58390.99379403734,648.7640989449039,11.513759836784672,GAS,2,1.0909090909090908
30,0.015,56850.22100610412,6.1945641240616975,56856.41557022818,631.6691222900457,11.217131856619053,GAS,2,1.0909090909090908
40,0.02,55365.74694949165,31.781175654410692,55397.52812514606,615.1749661054628,10.95844287684785,GAS,2,1.0909090909090908
50,0.025,53932.24097118046,79.56205926897569,54011.80303044943,599.2471219020051,10.736789411575506,GAS,3,1.1320754716981132
60,0.03,52597.474288388265,98.31025137283366,52695.7845397611,584.4163809820918,10.498032357905124,GAS,3,1.1320754716981180,0.04,61922.51379321546,699.0830610674221,62621.596854282885,688.0279310357273,13.08881840976104,GAS,3,1.2
90,0.045,60310.92151276839,604.938909808064,60915.86042257646,670.1213501418711,12.653002384203667,GAS,3,1.2
100,0.05,59111.791393782674,164.27743383419363,59276.068827616866,656.7976821531408,11.871485556635099,GAS,4,1.1764705882352942
110,0.055,57680.6832878701,21.642152957852076,57702.32544082795,640.8964809763345,11.406189083905733,GAS,4,1.1764705882352942
120,0.06,56205.776613189446,-4.148597366277639,56201.62801582317,624.5086290354383,11.078998916560897,GAS,4,1.1764705882352942
130,0.065,54780.27169012775,-6.603419104269127,54773.66827102348,608.6696854458639,10.793317211861678,GAS,4,1.1764705882352942
