Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy
0,0.0,6477.26266061808,22483.11909886123,28960.381759479307
10,0.0029999999999999996,32265.855433540597,219.6880404978572,32485.543474038455
20,0.005999999999999999,32427.592921620413,58.49171551384002,32486.084637134252
30,0.009,32463.50786709553,22.648450288790702,32486.15631738432
40,0.011999999999999999,32476.03094760499,10.137553081143084,32486.168500686133
50,0.015,32482.062437074324,4.109835957239366,32486.172273031563
60,0.018,32486.21276437484,-0.02863155864255651,32486.184132816197
70,0.020999999999999998,32489.724141099447,-3.5340909738280275,32486.190050125617
80,0.023999999999999997,32492.738902333498,-6.5488823648761665,32486.19001996862
90,0.026999999999999996,32495.163003055746,-8.978712893413466,32486.18429016233
100,0.03,32496.825370925966,-10.641114747969644,32486.184256177996
110,0.032999999999999995,32497.72068539053,-11.552629905597911,32486.168055484934
120,0.036,32498.201748471125,-12.055117520267178,32486.146630950858
130,0.039,32498.602989400417,-12.472222057297554,32486.13076734312
140,0.041999999999999996,32499.566679430336,-13.431213859045394,32486.13546557129
150,0.045,32309.27916463746,164.33982653921487,32473.618991176674
160,0.047999999999999994,32371.067827351442,108.44745011770647,32479.51527746915
170,0.051,32500.269830199664,-12.3808182710174,32487.889011928648
180,0.05399999999999999,32499.005661344127,-11.111523698020157,32487.894137646108
190,0.056999999999999995,32497.87265769658,-9.990288595689695,32487.882369100887
200,0.06,32495.910746858764,-8.011882710021993,32487.89886414874
210,0.063,32493.04449445404,-5.134727176732325,32487.909767277306
220,0.06599999999999999,32488.885749690126,-0.9749015186422945,32487.910848171483
230,0.06899999999999999,32484.44135320929,3.464012696886848,32487.90536590618
240,0.072,32481.0114147915,6.902244638670187,32487.91365943017
250,0.075,32480.834827164956,7.073252099904509,32487.90807926486
260,0.078,32483.975676085814,3.9201703204475633,32487.895846406263
270,0.08099999999999999,32488.716973338967,-0.8383972082295301,32487.878576130737
280,0.08399999999999999,32493.485035699807,-5.596344368121855,32487.888691331686
290,0.087,32497.084550697527,-9.188511203461992,32487.896039494066
300,0.09,32499.530504966373,-11.686148150697587,32487.844356815676
310,0.09299999999999999,31818.218933508884,656.7090505747019,32474.927984083588
320,0.09599999999999999,32246.62567059297,237.3645569169621,32483.99022750993
330,0.09899999999999999,32405.763453463016,81.70948940238415,32487.4729428654
340,0.102,32498.39380771078,-10.520757193572798,32487.87305051721
350,0.105,32497.696459346746,-9.78944087237478,32487.907018474372
360,0.10799999999999998,32496.35567634271,-8.443640164841007,32487.91203617787
370,0.11099999999999999,32494.995437993704,-7.072524869255726,32487.92291312445
380,0.11399999999999999,32493.353087804364,-5.4303845060093465,32487.922703298354
390,0.11699999999999999,32491.508010109115,-3.5753712365007972,32487.932638872615
400,0.12,32488.952488017545,-1.028646631805655,32487.92384138574
410,0.12299999999999998,32486.746369902077,1.18251385410503,32487.928883756183
420,0.126,32485.574642132335,2.3497998028152436,32487.92444193515
430,0.12899999999999998,32486.567703883826,1.3504553653631595,32487.918159249188
440,0.13199999999999998,32488.885116020523,-0.9678844670811628,32487.91723155344
450,0.13499999999999998,32491.49957020174,-3.5718442131090615,32487.927725988633
460,0.13799999999999998,32493.978014454893,-6.044038282237926,32487.933976172655
470,0.141,32495.914924440985,-7.999936509750826,32487.914987931235
480,0.144,32461.077857893382,26.707049018987995,32487.78490691237
490,0.147,32408.31697456822,79.66229134212824,32487.979265910348
