Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy
0,0.0,19461.44654249159,22919.135756742806,42380.5822992344
10,0.005,78929.84975838609,40.23116890499621,78970.08092729108
20,0.01,78975.7211911894,-5.3801569936838955,78970.34103419572
30,0.015,78978.24774560373,-7.866111292435318,78970.3816343113
40,0.02,78978.52308561295,-8.149719819851143,78970.3733657931
50,0.025,78978.41354464291,-8.256721996848212,78970.15682264607
60,0.03,101013.36491766348,-8.184134880407505,101005.18078278308
70,0.035,101013.65954981984,-8.648683440740474,101005.0108663791
80,0.04,101012.99386506433,-8.203824168594052,101004.79004089574
90,0.045,100929.61179725078,79.89129693696086,101009.50309418773
100,0.05,101013.1995916806,-8.129059373447449,101005.07053230716
110,0.055,101014.8405831592,-9.808505538384,101005.03207762081
120,0.06,101005.91839881205,-1.003144785727276,101004.91525402632
130,0.065,100990.06938164496,14.906994197134882,101004.9763758421
140,0.07,101015.6618296061,-10.606915401366065,101005.05491420474
150,0.075,100974.32700478581,23.034009371962348,100997.36101415777
160,0.08,101008.0473814019,-8.571819322091471,100999.47556207981
170,0.085,101010.07410726548,-10.57922730269911,100999.49487996277
180,0.09,101009.06655625332,-9.548637925261826,100999.51791832806
190,0.095,101007.8634767716,-8.324916850350725,100999.53855992125
200,0.1,101008.66693474006,-9.115240984108421,100999.55169375596
210,0.105,101009.50571908192,-9.978221244127568,100999.5274978378
220,0.11,101008.87062481212,-9.331470018626735,100999.53915479349
230,0.115,101008.92105554345,-9.458245791941927,100999.46280975151
240,0.12,100906.73616896031,93.52819610583407,101000.26436506615
250,0.125,101007.6448484016,-8.231988371044693,100999.41286003056
260,0.13,100997.94230596824,1.5574164374657276,100999.49972240572
270,0.135,100990.8531734667,8.64779293786879,100999.50096640458
280,0.14,101002.37153804715,-2.9089544810406043,100999.46258356611
290,0.145,101008.25809348866,-8.752679412977876,100999.50541407568
300,0.15,101008.85796854182,-9.334961691638467,100999.52300685018
310,0.155,101009.20727903364,-9.693958130730476,100999.51332090292
320,0.16,101008.13154950648,-8.612769596589441,100999.5187799099
330,0.165,101008.90488813416,-9.386525029897467,100999.51836310426
340,0.17,100994.58148102998,5.166243870501173,100999.74772490047
350,0.17500000000000002,116787.37209190059,-9.347875882940292,116778.02421601764
360,0.18,116755.02067508179,19.720253883625116,116774.74092896542
370,0.185,116425.31008532592,20.952507606629425,116446.26259293256
380,0.19,116407.07349944726,46.2444552031415,116453.3179546504
390,0.195,116460.95324212727,-8.102217927381233,116452.85102419989
400,0.2,116454.75383112936,-2.1744906989094392,116452.57934043046
410,0.20500000000000002,116417.50729760792,34.41102896722461,116451.91832657515
420,0.21,116460.37877392147,-7.472630305235795,116452.90614361624
430,0.215,116460.69337853607,-7.758464835612224,116452.93491370046
440,0.22,116455.43788191368,-2.5262649849326824,116452.91161692874
450,0.225,116456.28049300848,-3.3997239220674267,116452.88076908642
460,0.23,116461.50450427522,-8.529928018314006,116452.97457625691
470,0.23500000000000001,116461.01078641792,-8.042339668299373,116452.96844674961
480,0.24,116462.45702043013,-9.519881479903963,116452.93713895022
490,0.245,111143.86011592495,12.323384146232579,111156.18350007119
500,0.25,111166.70434937885,-7.799645103413024,111158.90470427544
510,0.255,111169.29163828955,-10.522653798762363,111158.76898449079
520,0.26,108888.09472311528,2207.628174681545,111095.72289779683
530,0.265,111169.00620082949,-11.624293315333235,111157.38190751417
540,0.27,93305.38920668777,11245.377820292586,104550.76702698036
550,0.275,132027.78547415134,3722.898698003515,135750.68417215487
560,0.28,131093.0754611373,2709.5066997428567,133802.58216088018
