Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy
0,0.0,115.2277096938152,1233.2210958728597,1348.4488055666748
10,0.005,1235.5426321811085,106.51237916793548,1342.055011349044
20,0.01,1311.1119192715055,31.492988676911242,1342.6049079484167
30,0.015,1329.5102360461942,13.113023665793067,1342.6232597119872
40,0.02,1340.0619736854865,2.5584279178746363,1342.6204016033612
50,0.025,1345.9464627323332,-3.32987303751353,1342.6165896948196
60,0.03,1348.9453139389293,-6.333088775613817,1342.6122251633155
70,0.035,1350.3143716941875,-7.6960078657304525,1342.618363828457
80,0.04,1350.8243806948315,-8.205675033842358,1342.618705660989
90,0.045,1350.9163581200357,-8.286589962837976,1342.6297681571978
100,0.05,1350.8252762897428,-8.195408257571552,1342.6298680321713
110,0.055,1350.6671354690684,-8.0372212270259,1342.6299142420426
120,0.06,1350.49745742023,-7.861996878489287,1342.6354605417407
130,0.065,1350.3398267844223,-7.698889225781874,1342.6409375586404
140,0.07,1350.202508058887,-7.561566911273528,1342.6409411476134
150,0.075,1350.0871560521323,-7.446213928556611,1342.6409421235758
160,0.08,1349.9954465667697,-7.370917910862541,1342.6245286559072
170,0.085,1349.9259984123685,-7.312445040406875,1342.6135533719616
180,0.09,1349.8748494492045,-7.261294449272008,1342.6135549999324
190,0.095,1349.8339571273175,-7.225887467856429,1342.608069659461
200,0.1,1349.7952164487824,-7.192592593117373,1342.6026238556651
210,0.105,1349.7504328524137,-7.158749502129235,1342.5916833502845
220,0.11,1349.691911315275,-7.10023071877248,1342.5916805965026
230,0.115,1349.6170853188828,-7.00898238534232,1342.6081029335405
240,0.12,1349.530400042296,-6.916763033818294,1342.6136370084776
250,0.125,1349.4398772908667,-6.831754845331952,1342.6081224455347
260,0.13,1349.3570291967003,-6.759827495522076,1342.5972017011782
270,0.135,1349.297804860432,-6.711559313133561,1342.5862455472984
280,0.14,1349.2852841336212,-6.710051991007038,1342.5752321426141
290,0.145,1349.3435635549838,-6.773796512777312,1342.5697670422064
300,0.15,1349.4900016606537,-6.9257453669010935,1342.5642562937526
310,0.155,1349.7077791946408,-7.143580304543331,1342.5641988900975
320,0.16,1349.931873567495,-7.362251412130249,1342.5696221553646
330,0.165,1350.0917590262397,-7.522161842579414,1342.5695971836603
340,0.17,1350.152895930919,-7.58332881335275,1342.5695671175663
350,0.17500000000000002,1350.0546713698197,-7.496300399596304,1342.5583709702235
360,0.18,1349.4643542402614,-6.90145534101552,1342.562898899246
370,0.185,1347.2642238289259,-4.720095933397214,1342.5441278955286
380,0.19,1340.7019713725686,1.8325498723744102,1342.5345212449429
390,0.195,1326.3093145730695,16.226660233469183,1342.5359748065387
400,0.2,1311.0753832688756,31.482477867836874,1342.5578611367125
410,0.20500000000000002,1315.249792892656,27.299862444617375,1342.5496553372734
420,0.21,1329.951494496307,12.59731102700406,1342.548805523311
430,0.215,1337.31812720125,5.236097649551644,1342.5542248508016
440,0.22,1340.0027319486733,2.5623801449760535,1342.5651120936493
450,0.225,1343.6283516788023,-1.064255828736936,1342.5640958500653
460,0.23,1347.4292386651746,-4.861242883590656,1342.567995781584
470,0.23500000000000001,1349.4910297734054,-6.906214163739971,1342.5848156096654
480,0.24,1350.0301204065422,-7.438984781586341,1342.5911356249558
