Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy
0,0.0,733563624450.3688,73434995.44767746,733637059445.8164
10,0.005,2934253581741.95,436.9558302153006,2934253582178.9062
20,0.01,2934253582823.493,101.6027818330547,2934253582925.0957
30,0.015,2934253583349.9917,309.91892719310476,2934253583659.9106
40,0.02,2934253584191.17,223.94584661391622,2934253584415.1157
50,0.025,2934253584768.7134,399.62089122646614,2934253585168.3345
60,0.03,2934253585855.555,82.71190040203402,2934253585938.267
70,0.035,2934253586740.672,-37.281471347792134,2934253586703.3906
80,0.04,2934253587539.006,-49.79493035339803,2934253587489.211
90,0.045,2934253588316.5127,-46.578764050874796,2934253588269.934
100,0.05,2934253589118.221,-46.45841067411149,2934253589071.7627
110,0.055,2934253589916.4077,-46.809413785158426,2934253589869.598
120,0.06,2934253590735.0435,-46.236600438703256,2934253590688.8066
130,0.065,2934253591545.4546,-40.28101332550288,2934253591505.1733
140,0.07,2934253592360.8687,-17.563789644862567,2934253592343.3047
150,0.075,2934253593110.835,69.26344385810773,2934253593180.0986
160,0.08,2934253593965.95,73.76182037543607,2934253594039.712
170,0.085,2934253594918.569,-18.130405725082145,2934253594900.4385
180,0.09,2934253595812.933,-25.844449250104127,2934253595787.089
190,0.095,2934253596641.5796,39.20532333153078,2934253596680.785
200,0.1,2934253597400.1494,207.79101522955665,2934253597607.9404
210,0.105,2934253598194.274,360.5676336222359,2934253598554.842
220,0.11,2934253599551.5054,-4.210662264881922,2934253599547.295
230,0.115,2934253600586.2056,-12.524281273605022,2934253600573.681
240,0.12,2934253601651.095,8.749124399710903,2934253601659.844
250,0.125,2934253602798.4746,-5.809968865159155,2934253602792.6646
260,0.13,2934253604020.605,-23.39475859872654,2934253603997.2104
270,0.135,2934253605272.2534,-11.431387861438296,2934253605260.8223
280,0.14,2934253606607.051,0.5171816986100559,2934253606607.568
290,0.145,2934253608024.3477,1.5376704061666633,2934253608025.8853
300,0.15,2934253609542.426,-2.608817774864475,2934253609539.817
310,0.155,2934253611155.731,-16.450322609547214,2934253611139.281
320,0.16,2934253612869.7476,-20.943866750735555,2934253612848.8037
330,0.165,2934253614592.416,67.89056684058956,2934253614660.3066
340,0.17,2934253616237.5684,362.31214396859224,2934253616599.8804
350,0.17500000000000002,2934253618548.892,110.19644440086637,2934253618659.0884
360,0.18,2934253620765.367,99.949353856145,2934253620865.3164
370,0.185,2934253623126.268,87.92664292117024,2934253623214.195
380,0.19,2934253625573.0464,160.56178626760496,2934253625733.6084
390,0.195,2934253628352.2466,69.21509095193385,2934253628421.462
400,0.2,2934253631315.7295,-8.702072166598168,2934253631307.0273
410,0.20500000000000002,2934253634419.484,-27.60917682763869,2934253634391.8745
420,0.21,2934253637733.89,-26.83799960288386,2934253637707.0522
430,0.215,2934253641281.9155,-25.448284281528963,2934253641256.4673
440,0.22,2934253645092.3833,-18.491816142684648,2934253645073.8916
450,0.225,2934253649158.475,7.240632563774366,2934253649165.716
460,0.23,2934253653450.29,118.11154984379657,2934253653568.4014
470,0.23500000000000001,2934253658141.594,149.06249712569573,2934253658290.6567
480,0.24,2934253663372.771,-1.115967365154198,2934253663371.655
490,0.245,2934253668840.3003,-18.25979168409268,2934253668822.0405
500,0.25,2934253674655.5195,27.921208254905547,2934253674683.441
510,0.255,2934253680902.3413,64.57996785988291,2934253680966.9214
520,0.26,2934253687816.9795,-3.3790942186600326,2934253687813.6006
530,0.265,2934253695235.1226,-28.52117756787659,2934253695206.6016
540,0.27,2934253703214.5005,-28.951840988119066,2934253703185.549
550,0.275,2934253711795.2085,-25.883786335540968,2934253711769.3247
560,0.28,2934253721038.525,-24.799478531121103,2934253721013.7256
570,0.28500000000000003,2934253730954.0996,-20.36043031225813,2934253730933.7393
580,0.29,2934253741591.817,-13.23898585825216,2934253741578.578
590,0.295,2934253752969.683,-13.831268463270199,2934253752955.852
600,0.3,2934253765132.6743,-25.50768428775809,2934253765107.1665
610,0.305,2934253778063.3267,-34.82730878435177,2934253778028.4995
620,0.31,2934253791787.7397,-38.41477208198235,2934253791749.325
630,0.315,2934253806286.668,-37.80110139960072,2934253806248.8667
640,0.32,2934253821571.1567,-33.29195604715757,2934253821537.8647
650,0.325,2934253837522.364,49.96004034289547,2934253837572.3237
660,0.33,2934253854073.3213,256.53559619466546,2934253854329.857
670,0.335,2934253871598.444,87.0293876109824,2934253871685.473
680,0.34,2934253889601.803,75.82431261741678,2934253889677.6274
690,0.34500000000000003,2934253908205.0703,3.4683978908173057,2934253908208.5386
700,0.35000000000000003,2934253927224.9863,-7.706862390593537,2934253927217.2793
710,0.355,2934253946581.3633,2.5888810671770344,2934253946583.952
720,0.36,2934253966303.295,0.8763175372202348,2934253966304.1714
730,0.365,2934253986199.196,-12.486260078132275,2934253986186.7095
740,0.37,2934254006147.3706,-9.386573727099687,2934254006137.984
750,0.375,2934254026017.2104,11.398936855819938,2934254026028.6094
760,0.38,2934254045770.3774,20.952141900958317,2934254045791.3296
770,0.385,2934254065310.9854,5.242470696093362,2934254065316.228
780,0.39,2934254084579.589,-14.073825694129376,2934254084565.515
790,0.395,2934254103483.092,-21.692735168223944,2934254103461.399
800,0.4,2934254122027.74,-22.66104997428279,2934254122005.079
810,0.405,2934254140191.343,-22.123778395368376,2934254140169.219
820,0.41000000000000003,2934254158055.756,-26.429023368619507,2934254158029.3267
830,0.41500000000000004,2934254175564.7505,-33.27632954367473,2934254175531.474
840,0.42,2934254192783.116,-41.01167052392013,2934254192742.1045
850,0.425,2934254209700.9575,-44.703391452381936,2934254209656.254
860,0.43,2934254226392.667,-45.28399472191282,2934254226347.383
870,0.435,2934254242837.9995,-38.90691418359148,2934254242799.093
880,0.44,2934254259096.8877,-22.23182691214976,2934254259074.656
890,0.445,2934254275090.831,32.913122629796234,2934254275123.744
900,0.45,2934254290879.2256,115.28631429408188,2934254290994.5117
910,0.455,2934254306575.484,19.36821042787421,2934254306594.852
920,0.46,2934254321985.0938,-21.429255760126082,2934254321963.6646
930,0.465,2934254336937.8184,33.477149170217416,2934254336971.2954
940,0.47000000000000003,2934254351455.076,208.64763003825138,2934254351663.7236
950,0.47500000000000003,2934254365794.538,94.38964833111207,2934254365888.9277
960,0.48,2934254379693.9336,-1.586947126239922,2934254379692.3467
970,0.485,2934254392895.738,-15.405079715656539,2934254392880.3325
980,0.49,2934254405489.4414,-20.959737259376197,2934254405468.4814
990,0.495,2934254417277.1465,-24.412459168138533,2934254417252.734
1000,0.5,2934254428126.0977,-30.852987477000056,2934254428095.2446
1010,0.505,2934254437840.138,-32.796039454551746,2934254437807.3423
1020,0.51,2934254445936.7524,-23.319491521704506,2934254445913.433
1030,0.515,2934254452331.296,76.75093205566327,2934254452408.047
1040,0.52,2934254455981.9375,163.5164061025574,2934254456145.454
1050,0.525,2934254457531.8945,120.76855372788188,2934254457652.663
1060,0.53,2934254455297.7085,36.217178298209554,2934254455333.926
1070,0.535,2934254450958.145,-16.30845293603446,2934254450941.8364
1080,0.54,2934254443219.296,1.4705831478332474,2934254443220.7666
1090,0.545,2934254434768.984,22.197981926828128,2934254434791.1816
1100,0.55,2934254424481.5024,141.54170707865055,2934254424623.044
1110,0.555,2934254414340.901,85.66988501867381,2934254414426.571
1120,0.56,2934254402167.4854,22.6932076041573,2934254402190.1787
1130,0.5650000000000001,2934254388777.424,-15.819215836306043,2934254388761.6045
1140,0.5700000000000001,2934254372498.2476,12.490191428384055,2934254372510.738
1150,0.5750000000000001,2934254355706.503,0.9583960084000278,2934254355707.4614
1160,0.58,2934254338053.6606,55.86731624681035,2934254338109.528
1170,0.585,2934254322173.999,81.32778854326455,2934254322255.3267
1180,0.59,2934254308117.0894,101.29837113318402,2934254308218.3877
