Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy
0,0.0,2933534286836160.0,3265230048.098036,2933537552066208.0
10,0.005,1.1734136908613614e+16,-7.513027148750281,1.1734136908613606e+16
20,0.01,1.1734136904929e+16,-3.5982502481276155,1.1734136904928996e+16
30,0.015,1.1733644983496076e+16,-9.991912643089638,1.1733644983496066e+16
40,0.02,1.1733644984644416e+16,137027.77158961096,1.1733644984781444e+16
50,0.025,1.173364575924006e+16,745.0153522947418,1.1733645759240806e+16
60,0.03,1.1733531396284332e+16,192.10980559214212,1.1733531396284524e+16
70,0.035,1.1733531253989736e+16,-10.489127649128257,1.1733531253989726e+16
80,0.04,1.173353137580086e+16,1251.2006109119757,1.1733531375802112e+16
90,0.045,1.1733531034930624e+16,3.943109815191233,1.1733531034930628e+16
100,0.05,1.1733528394107296e+16,63.52112053401749,1.173352839410736e+16
110,0.055,1.1747520918421172e+16,13.519356417284762,1.1747520918421186e+16
120,0.06,1.1748175604139582e+16,-5.4806989075920765,1.1748175604139576e+16
130,0.065,1.1751963560101222e+16,-5.503607007863782,1.1751963560101216e+16
140,0.07,1.1751964032352542e+16,26323.680372751158,1.1751964032378866e+16
150,0.075,1.175196491512371e+16,2831271.109693164,1.1751964917954982e+16
160,0.08,2.1025677780398824e+16,5222400.575370932,2.1025677785621224e+16
170,0.085,2.102711377667827e+16,-11.260649445345393,2.102711377667826e+16
180,0.09,3.812102581893399e+16,10461.882102397758,3.8121025818944456e+16
190,0.095,3.812148040827157e+16,453131.5376753515,3.8121480408724696e+16
200,0.1,3.812148085317395e+16,1436.6618232796843,3.812148085317539e+16
210,0.105,3.812148338872412e+16,21900.02208748097,3.8121483388746024e+16
220,0.11,4.0084138475416904e+16,964.025140691691,4.008413847541787e+16
230,0.115,4.010271998623566e+16,17.506779222762248,4.010271998623568e+16
240,0.12,4.010382199529753e+16,177236.7048925427,4.010382199547477e+16
250,0.125,1.3702964048107651e+19,581244.874917998,1.3702964048108233e+19
260,0.13,1.37029832739977e+19,2167.350919666464,1.3702983273997701e+19
270,0.135,2.598477316653941e+19,0.5827343454861329,2.598477316653941e+19
