Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy,Temperature,Pressure,Phase,Max_Cluster_Size,Avg_Cluster_Size
0,0.0,2451.9270883774284,1202.35555190958,3654.2826402870087,27.24363431530476,1.9615325578236182,GAS,2,1.1111111111111112
10,0.005,3424.368828643808,114.7235850286756,3539.0924136724834,38.04854254048675,0.8344500915542359,GAS,2,1.1111111111111112
20,0.01,3355.447894292249,59.05756380122534,3414.5054580934748,37.28275438102499,0.7480302166724041,GAS,2,1.1111111111111112
30,0.015,3269.6857648015757,23.919798447467212,3293.605563249043,36.32984183112862,0.6851602245623981,GAS,2,1.1111111111111112
40,0.02,3171.314506488217,5.989281192664631,3177.3037876808817,35.23682784986908,0.6414945307089546,GAS,2,1.1111111111111112
50,0.025,3067.6503816001186,-1.5784755468362432,3066.0719060532824,34.08500424000132,0.6100890674154213,GAS,2,1.0909090909090908
60,0.03,2964.467070524772,-4.448478759038832,2960.0185917657336,32.9385230058308,0.5850526600144509,GAS,2,1.0909090909090908
70,0.035,2864.439341214259,-5.380573444078864,2859.05876777018,31.827103791269543,0.5633884532028667,GAS,2,1.0909090909090908
80,0.04,2768.5615350793623,-5.5491227943085075,2763.012412285054,30.761794834215138,0.5437336208415922,GAS,2,1.0909090909090908
90,0.045,2677.102891070384,-5.454817917479463,2671.6480731529045,29.745587678559822,0.5254549855793714,GAS,2,1.0909090909090908
100,0.05,2590.039115278244,-5.241477439915483,2584.7976378383287,28.77821239198049,0.5082821656493262,GAS,2,1.0714285714285714
110,0.055,2507.228680725765,-5.068887232946944,2502.159793492818,27.8580964525085,0.49200631816893564,GAS,2,1.0714285714285714
120,0.06,2428.490334766116,-4.904673434683702,2423.585661331432,26.983225941845735,0.47656781811289606,GAS,2,1.0714285714285714
130,0.065,2353.6324491148803,-4.771389339763837,2348.8610597751162,26.151471656832005,0.46189361657604566,GAS,2,1.0714285714285714
140,0.07,2282.46527518613,-4.66973770602009,2277.79553748011,25.360725279845887,0.44793455460354475,GAS,2,1.0714285714285714
150,0.075,2214.805455714995,-4.596738278814864,2210.20871743618,24.608949507944388,0.4346505227365116,GAS,2,1.0344827586206897
160,0.08,2150.4777887189507,-4.548578874524119,2145.9292098444266,23.894197652432787,0.42200660705354665,GAS,2,1.0344827586206897
170,0.085,2089.3156831510523,-4.521491956220457,2084.794191194832,23.214618701678358,0.4099713388521047,GAS,2,1.0344827586206897
180,0.09,2031.1610493449693,-4.512074373186588,2026.6489749717828,22.568456103832993,0.3985157562576554,GAS,2,1.0344827586206897
190,0.095,1975.8707311037413,-4.535652021112243,1971.335079082629,21.954119234486015,0.3876035752226378,GAS,2,1.0344827586206897
200,0.1,1923.2944638670629,-4.559048489653289,1918.7354153774095,21.369938487411808,0.37722573287256983,GAS,2,1.0169491525423728
210,0.105,1873.2966942505725,-4.5906848166074115,1868.7060094339652,20.81440771389525,0.36735198376989364,GAS,2,1.0169491525423728
220,0.11,1825.7504232025601,-4.6420737236783385,1821.1083494788818,20.28611581336178,0.35795213367345113,GAS,2,1.0169491525423728
230,0.115,1780.5344817140572,-4.687646387120109,1775.846835326937,19.783716463489522,0.34901911649092526,GAS,2,1.0169491525423728
240,0.12,1737.5331396341146,-4.732762072212562,1732.800377561902,19.305923773712383,0.34052884374047737,GAS,2,1.0169491525423728
250,0.125,1696.6368047367896,-4.768135003097903,1691.8686697336916,18.851520052630995,0.3324672181202069,GAS,3,1.0344827586206897
260,0.13,1657.7408046718538,-4.820776587026096,1652.9200280848277,18.419342274131708,0.32479994907014964,GAS,3,1.0344827586206897
270,0.135,1620.7450581937048,-4.868186628801682,1615.8768715649032,18.0082784243745,0.31752320263997524,GAS,3,1.0344827586206897
280,0.14,1585.5542592127283,-4.915599601664738,1580.6386596110635,17.617269546808092,0.3106181632651682,GAS,3,1.0344827586206897
290,0.145,1552.0761115366631,-4.955030628129338,1547.1210809085337,17.245290128185147,0.30407505799988355,GAS,3,1.0344827586206897
300,0.15,1520.2222529054886,-4.981749589966987,1515.2405033155217,16.89135836561654,0.2978837956922214,GAS,4,1.0526315789473684
310,0.155,1489.9070928823226,-4.9894449875009865,1484.9176478948216,16.55452325424803,0.29203685318922573,GAS,4,1.0526315789473684
320,0.16,1461.0471829399826,-4.969718757028351,1456.0774641829541,16.23385758822203,0.2865297571351405,GAS,4,1.0526315789473684
330,0.165,1433.5605964835283,-4.907725268930583,1428.6528712145978,15.928451072039204,0.2813639049321978,GAS,4,1.0526315789473684
340,0.17,1407.3664268479856,-4.780739807383472,1402.5856870406021,15.637404742755395,0.27654769769615645,GAS,4,1.0526315789473684
350,0.17500000000000002,1382.3828126167514,-4.597793716882147,1377.7850188998693,15.359809029075015,0.2720732313638003,GAS,4,1.0526315789473684
360,0.18,1358.5271326374218,-4.320048511470282,1354.2070841259515,15.094745918193576,0.26796368523590947,GAS,4,1.0526315789473684
370,0.185,1335.7156906859175,-3.8856682606986226,1331.8300224252189,14.84128545206575,0.26425881628614967,GAS,4,1.0526315789473684
