Step,Kinetic,Potential,Total,Temperature
40,2258.919056782257,-5.713303193161232,2253.205753589096,18.824325473185475
80,2103.585155597197,-5.743222669823057,2097.8419329273743,17.52987629664331
120,1959.7689919670688,-5.325717619203518,1954.4432743478653,16.33140826639224
160,1834.603612154153,-5.843147334210678,1828.7604648199424,15.288363434617942
200,1711.6383124979843,-5.573305804716004,1706.0650066932683,14.26365260414987
240,1598.511759177119,-5.7051247959895655,1592.8066343811295,13.320931326475993
280,1494.154436634766,-5.902931180626972,1488.251505454139,12.451286971956383
320,1398.1193908515934,-6.409149081059678,1391.7102417705337,11.650994923763278
360,1308.9886279935984,-6.400152211359881,1302.5884757822384,10.908238566613319
400,1227.2871604586876,-6.98420965551033,1220.3029508031773,10.227393003822396
440,1151.4409725577664,-7.128204987631042,1144.3127675701353,9.595341437981386
480,1081.2889597831918,-7.114424010953949,1074.1745357722377,9.010741331526598
520,1016.9488552905478,-7.530412344798329,1009.4184429457495,8.474573794087899
560,957.2768164832347,-7.661042386179426,949.6157740970552,7.977306804026956
600,901.6061459879811,-7.172794284854979,894.4333517031262,7.513384549899842
640,850.4291732561794,-6.8979580216079865,843.5312152345714,7.086909777134829
680,803.8221981519807,-7.279026189966668,796.5431719620141,6.698518317933173
720,761.2382728844743,-8.115387998494267,753.12288488598,6.343652274037286
760,722.3083983112303,-9.340693591141799,712.9677047200886,6.0192366525935865
800,677.0566112230242,1.7917205336209712,678.8483317566452,5.642138426858535
840,653.941780386004,-9.423574847037932,644.5182055389661,5.449514836550033
880,621.6708323403833,-8.99384091564902,612.6769914247343,5.1805902695031945
920,591.6135465194176,-8.282600928937317,583.3309455904803,4.930112887661813
960,563.96281766549,-7.663826722282,556.298990943208,4.699690147212417
1000,539.1450083998426,-7.775262251318546,531.3697461485241,4.492875069998688
1040,516.7496865451114,-8.42558919883378,508.32409734627765,4.306247387875929
1080,495.89663708812634,-8.893295369261413,487.00334171886493,4.132471975734386
1120,476.36686402926136,-9.062256370311292,467.3046076589501,3.9697238669105115
1160,458.2139189952981,-9.100211670568623,449.1137073247295,3.8184493249608176
1200,441.4527967200707,-9.132994838492102,432.3198018815786,3.678773306000589
1240,426.02653074580746,-9.213109769959186,416.81342097584826,3.5502210895483954
1280,411.77258000711834,-9.279929603110446,402.4926504040079,3.4314381667259863
1320,398.5427911286567,-9.268861874458599,389.2739292541981,3.321189926072139
1360,386.5091149959647,-9.441245066037839,377.06786992992687,3.2209092916330393
1400,375.40982737951197,-9.626523101617757,365.7833042778942,3.1284152281626
1440,364.75728465525555,-9.386910158533206,355.3703744967223,3.039644038793796
