Step,Time_s,Kinetic_Energy,Potential_Energy,Total_Energy,Temperature,Pressure,Phase,Max_Cluster_Size,Avg_Cluster_Size
0,0.0,4540309020736.019,199132208.83992857,4540508152944.858,50447878008.177986,892602931.4965321,GAS,2,1.1320754716981132
10,0.005,17316293769310.854,94.71066840271723,17316293769405.564,192403264103.45392,3403399960.8002744,GAS,2,1.1320754716981132
20,0.01,16469702430597.553,7.993242396434371,16469702430605.547,182996693673.30615,3237008181.526848,GAS,2,1.1320754716981132
30,0.015,15664500831910.146,-4.302071274880194,15664500831905.844,174050009243.44608,3078751274.7045174,GAS,2,1.1320754716981132
40,0.02,14898665434318.68,-3.612982804415463,14898665434315.066,165540727047.98532,2928231527.4249415,GAS,2,1.1320754716981132
50,0.025,14170271629400.207,-3.0053827347261737,14170271629397.201,157447462548.89117,2785070670.9531813,GAS,2,1.0714285714285714
60,0.03,13477488902572.639,-1.2742759956205603,13477488902571.365,149749876695.25153,2648908930.078731,GAS,2,1.0714285714285714
70,0.035,12818576232873.287,2.4726616181003753,12818576232875.76,142428624809.7032,2519404118.954042,GAS,2,1.0714285714285714
80,0.04,12191877717627.277,8.59762962565839,12191877717635.875,135465307973.63641,2396230781.153887,GAS,2,1.0714285714285714
90,0.045,11595818410989.885,57.664950943002744,11595818411047.549,128842426788.7765,2279079371.8136706,GAS,2,1.0714285714285714
100,0.05,11028900366191.219,-0.1121877365805437,11028900366191.107,122543337402.12465,2167655479.474106,GAS,2,1.1320754716981132
110,0.055,10489698870584.627,-2.580400829591154,10489698870582.047,116552209673.16252,2061679086.7528963,GAS,2,1.1320754716981132
120,0.06,9976858865749.807,-3.9260010046336706,9976858865745.88,110853987397.22008,1960883866.047573,GAS,2,1.1320754716981132
130,0.065,9489091541842.027,-3.9326694490045937,9489091541838.094,105434350464.9114,1865016510.5344276,GAS,2,1.1320754716981132
140,0.07,9025171098750.918,7.910745137367368,9025171098758.828,100279678875.0102,1773836097.540428,GAS,2,1.1320754716981132
150,0.075,8583931665146.307,479.9639726554317,8583931665626.2705,95377018501.62563,1687113483.5120244,GAS,2,1.0714285714285714
160,0.08,8164264370794.114,22.298874051204965,8164264370816.413,90714048564.37904,1604630725.8419108,GAS,2,1.0714285714285714
170,0.085,7765114555244.832,41.05809797357402,7765114555285.89,86279050613.83147,1526180539.8966148,GAS,2,1.0714285714285714
180,0.09,7385479122102.671,59.58269233851974,7385479122162.254,82060879134.47412,1451565773.3093297,GAS,2,1.0714285714285714
190,0.095,7024404015846.271,34.19059502537866,7024404015880.462,78048933509.40302,1380598912.8861177,GAS,2,1.0714285714285714
200,0.1,6680981824481.063,15.687123499909218,6680981824496.751,74233131383.12292,1313101613.0275335,GAS,3,1.0714285714285714
210,0.105,6354349499267.448,3.8067476551401542,6354349499271.255,70603883325.19386,1248904247.3641884,GAS,3,1.0714285714285714
220,0.11,6043686185778.809,-1.8499546829423934,6043686185776.959,67152068730.87565,1187845482.531622,GAS,3,1.0714285714285714
230,0.115,5748211161118.057,-3.779608212397469,5748211161114.277,63869012901.31174,1129771872.743102,GAS,3,1.0714285714285714
240,0.12,5467181871821.485,-3.7276668223064457,5467181871817.758,60746465242.460945,1074537474.1545005,GAS,3,1.0714285714285714
250,0.125,5199892067788.077,-3.480890170052048,5199892067784.597,57776578530.97864,1022003478.1022913,GAS,3,1.0526315789473684
260,0.13,4945670027401.794,-3.3490796143359107,4945670027398.445,54951889193.353264,972037862.2631627,GAS,3,1.0526315789473684
270,0.135,4703876869402.684,-3.158935959679609,4703876869399.524,52265298548.91871,924515058.8637717,GAS,3,1.0526315789473684
280,0.14,4473904947352.4375,-3.0127069616670763,4473904947349.425,49710054970.58264,879315639.1225771,GAS,3,1.0526315789473684
290,0.145,4255176322568.0195,-3.098718315065696,4255176322564.921,47279736917.42244,836326013.1154796,GAS,3,1.0526315789473684
300,0.15,4047141311713.1416,-3.6139087566640478,4047141311709.528,44968236796.81268,795438144.3154316,GAS,2,1.0526315789473684
310,0.155,3849277105377.577,15.524115245936388,3849277105393.101,42769745615.30641,756549278.1106012,GAS,2,1.0526315789473684
320,0.16,3661086451727.77,2586.9331611536345,3661086454314.703,40678738352.53078,719561686.0764388,GAS,2,1.0526315789473684
330,0.165,3482096419597.4653,242.50429355398936,3482096419839.9697,38689960217.74962,684382407.8077255,GAS,2,1.0526315789473684
340,0.17,3311857184490.3726,206.56603563157975,3311857184696.9385,36798413161.00414,650923042.0439837,GAS,2,1.0526315789473684
350,0.17500000000000002,3149940923565.782,-4.573971216833255,3149940923561.2085,34999343595.17536,619099500.12636,GAS,2,1.1111111111111112
360,0.18,2995940727311.8623,-3.9511671096026886,2995940727307.911,33288230303.465137,588831807.2336863,GAS,2,1.1111111111111112
370,0.185,2849469580574.246,-2.895652157347629,2849469580571.3506,31660773117.491623,560043897.9014109,GAS,2,1.1111111111111112
380,0.19,2710159389100.682,0.8809849305613285,2710159389101.563,30112882101.11869,532663425.7063025,GAS,2,1.1111111111111112
390,0.195,2577660054715.824,12.123947921996148,2577660054727.948,28640667274.62027,506621581.23498553,GAS,2,1.1111111111111112
400,0.2,2451638595499.1304,34.53593501121795,2451638595533.6665,27240428838.879227,481852919.15601003,GAS,2,1.0909090909090908
410,0.20500000000000002,2331778308993.352,50.33326319378225,2331778309043.6855,25908647877.70391,458295193.7293679,GAS,2,1.0909090909090908
420,0.21,2217777976288.2046,36.013514823628356,2217777976324.2183,24641977514.313385,435889202.39451456,GAS,2,1.0909090909090908
430,0.215,2109351104981.5237,14.404288897070582,2109351104995.928,23437234499.79471,414578637.04335076,GAS,2,1.0909090909090908
440,0.22,2006225209252.922,2.9284225345952417,2006225209255.8506,22291391213.921356,394309942.46015745,GAS,2,1.0909090909090908
450,0.225,1908141125098.4873,-1.4256824618251152,1908141125097.0615,21201568056.64986,375032181.71640676,GAS,4,1.1111111111111112
460,0.23,1814852359010.3638,-2.944890712266843,1814852359007.419,20165026211.226265,356696908.1816413,GAS,4,1.1111111111111112
470,0.23500000000000001,1726124468514.0957,-3.4709560847987424,1726124468510.6248,19179160761.26773,339258043.77690524,GAS,4,1.1111111111111112
480,0.24,1641734472996.5537,-3.5570187880775808,1641734472992.9966,18241494144.40615,322671763.1759013,GAS,4,1.1111111111111112
490,0.245,1561470293337.9443,-3.5378262328561716,1561470293334.4065,17349669925.977158,306896383.667438,GAS,4,1.1111111111111112
500,0.25,1485130218939.2078,-3.6187260178291343,1485130218935.589,16501446877.102308,291892260.4027934,GAS,2,1.1111111111111112
510,0.255,1412522400806.3303,-3.7138395436043816,1412522400802.6165,15694693342.292559,277621686.7649624,GAS,2,1.1111111111111112
520,0.26,1343464369418.8892,-3.688175003954736,1343464369415.201,14927381882.432102,264048799.6088175,GAS,2,1.1111111111111112
530,0.265,1277782576166.8064,-3.461514032515716,1277782576163.345,14197584179.631182,251139489.13352835,GAS,2,1.1111111111111112
540,0.27,1215311957208.3708,-2.91220950991948,1215311957205.4587,13503466191.20412,238861313.1621282,GAS,2,1.1111111111111112
550,0.275,1155895518649.718,0.13370057691142245,1155895518649.8518,12843283540.552422,227183415.61390004,GAS,2,1.0909090909090908
560,0.28,1099383941998.2815,17.78388530175268,1099383942016.0654,12215377133.31424,216076448.96819565,GAS,2,1.0909090909090908
570,0.28500000000000003,1045635208934.2197,51.19584529509171,1045635208985.4155,11618168988.157997,205512500.48827764,GAS,2,1.0909090909090908
580,0.29,994514244452.421,41.98455670708167,994514244494.4055,11050158271.693567,195465022.02574116,GAS,2,1.0909090909090908
590,0.295,945892577246.8173,34.54258382819332,945892577281.3599,10509917524.964636,185908763.47324896,GAS,2,1.0909090909090908
600,0.3,899648016990.3298,39.28737394246339,899648017029.6172,9996089077.670332,176819709.16634932,GAS,3,1.1111111111111112
610,0.305,855664347250.9352,39.738190586145315,855664347290.6733,9507381636.121502,168175017.53430852,GAS,3,1.1111111111111112
620,0.31,813831033387.9779,34.57819483851111,813831033422.5562,9042567037.6442,159952963.74213997,GAS,3,1.1111111111111112
630,0.315,774042944760.7972,30.448895990880942,774042944791.2461,8600477164.008858,152132885.0843596,GAS,3,1.1111111111111112
640,0.32,736200090572.3744,35.76437926505494,736200090608.1388,8180001006.359715,144695129.05905047,GAS,3,1.1111111111111112
650,0.325,700207368571.2905,58.19064457594764,700207368629.4812,7780081873.014339,137621003.97330937,GAS,2,1.0909090909090908
660,0.33,665974326052.8235,81.0541571462664,665974326133.8777,7399714733.920261,130892731.94075301,GAS,2,1.0909090909090908
670,0.335,633414932564.9958,54.6727502613991,633414932619.6686,7037943695.16662,124493404.1991517,GAS,2,1.0909090909090908
680,0.34,602447363587.6835,17.01422531242505,602447363604.6978,6693859595.418705,118406938.74174358,GAS,2,1.0909090909090908
690,0.34500000000000003,572993794996.9496,0.3752002881496668,572993794997.3248,6366597722.188329,112618039.80616114,GAS,2,1.0909090909090908
700,0.35000000000000003,544980207519.71466,-3.7479092624307313,544980207515.96674,6055335639.107941,107112159.3971893,GAS,2,1.1320754716981132
710,0.355,518336200671.7056,0.026482081325709516,518336200671.7321,5759291118.574507,101875460.77197418,GAS,2,1.1320754716981132
720,0.36,492994815836.2301,10.11348846391782,492994815846.34357,5477720175.958113,96894783.66644399,GAS,2,1.1320754716981132
730,0.365,468892368008.8704,10.357175978350513,468892368019.2276,5209915200.09856,92157611.20468575,GAS,2,1.1320754716981132
740,0.37,445968285720.9295,0.6063302754175669,445968285721.5358,4955203174.676994,87652038.47563659,GAS,2,1.1320754716981132
750,0.375,424164958819.768,-3.604429125133517,424164958816.1636,4712943986.886312,83366742.61498302,GAS,2,1.1320754716981132
760,0.38,403427593721.1834,-2.6263824103177447,403427593718.557,4482528819.12426,79290954.31564046,GAS,2,1.1320754716981132
770,0.385,383704075688.9551,6.30949114117239,383704075695.2646,4263378618.7661676,75414430.78351179,GAS,2,1.1320754716981132
780,0.39,364944837870.32336,25.254352682567944,364944837895.5777,4054942643.003593,71727429.9921641,GAS,2,1.1320754716981132
790,0.395,347102736750.3211,35.014683791402035,347102736785.3358,3856697075.0035677,68220686.17940168,GAS,2,1.1320754716981132
800,0.4,330132933650.4696,19.955460315996863,330132933670.42505,3668143707.22744,64885386.58800523,GAS,2,1.1111111111111112
810,0.405,313992782010.941,4.056144687634545,313992782014.99713,3488808689.010455,61713149.35606828,GAS,2,1.1111111111111112
820,0.41000000000000003,298641720270.20496,-2.5077274948356263,298641720267.6972,3318241336.3356104,58696002.397325404,GAS,2,1.1111111111111112
830,0.41500000000000004,284041169930.3732,-4.124240469832406,284041169926.24896,3156012999.2263694,55826363.36486849,GAS,2,1.1111111111111112
840,0.42,270154438590.22736,-4.121963886554579,270154438586.10538,3001715984.3358593,53097020.6122519,GAS,2,1.1111111111111112
850,0.425,256946627733.1602,-3.7118126949303942,256946627729.44836,2854962530.3684464,50501115.071488425,GAS,2,1.0909090909090908
860,0.43,244384545025.71432,-3.299057793696489,244384545022.41525,2715383833.619048,48032123.014549434,GAS,2,1.0909090909090908
870,0.435,232436620902.34088,-2.308681797248618,232436620900.0322,2582629121.1371207,45683839.65801269,GAS,2,1.0909090909090908
880,0.44,221072829228.94113,0.3323867558722254,221072829229.27353,2456364769.210457,43450363.57047951,GAS,2,1.0909090909090908
890,0.445,210264611842.80255,8.128145549146074,210264611850.9307,2336273464.920028,41326081.843347475,GAS,2,1.0909090909090908
900,0.45,199984806780.98242,29.750784739867363,199984806810.73322,2222053408.6775823,39305655.9877392,GAS,2,1.0909090909090908
910,0.455,190207580031.6825,67.64249030019039,190207580099.32498,2113417555.9075832,37384008.50629479,GAS,2,1.0909090909090908
920,0.46,180908360652.4954,75.17478264619929,180908360727.67017,2010092896.1388376,35556310.08934843,GAS,2,1.0909090909090908
930,0.465,172063778937.3775,39.642485223440275,172063778977.02,1911819765.9708612,33817967.564326204,GAS,2,1.0909090909090908
940,0.47000000000000003,163651607658.8757,13.76655004737919,163651607672.64224,1818351196.20973,32164612.385729328,GAS,2,1.0909090909090908
950,0.47500000000000003,155650706321.43954,3.5203721187913306,155650706324.95993,1729452292.4604394,30592089.540821105,GAS,2,1.0714285714285714
960,0.48,148040968000.12854,-0.11924162095112553,148040968000.0093,1644899644.4458728,29096447.139182884,GAS,2,1.0714285714285714
970,0.485,140803268790.39795,-1.5837102087317592,140803268788.81424,1564480764.337755,27673926.501744412,GAS,2,1.0714285714285714
980,0.49,133919419750.04135,-2.328110586056014,133919419747.71324,1487993552.7782373,26320952.71352714,GAS,2,1.0714285714285714
990,0.495,127372121191.83319,-2.769413227660571,127372121189.06378,1415245791.0203688,25034125.637866825,GAS,2,1.0714285714285714
1000,0.5,121144919207.08934,-3.0724480722751975,121144919204.01689,1346054657.8565483,23810211.370500956,GAS,3,1.0714285714285714
1010,0.505,115222164314.72229,-3.266561919084247,115222164311.45573,1280246270.163581,22646134.11210399,GAS,3,1.0714285714285714
1020,0.51,109588972136.13542,-3.4057817485708584,109588972132.72964,1217655245.9570603,21538968.43906254,GAS,3,1.0714285714285714
1030,0.515,104231185988.05838,-3.4626882725277754,104231185984.59569,1158124288.7562041,20485931.951398265,GAS,3,1.0714285714285714
1040,0.52,99135341305.60732,-3.509492486028518,99135341302.09782,1101503792.2845256,19484378.280249536,GAS,3,1.0714285714285714
1050,0.525,94288631804.72165,-3.513208360063573,94288631801.20844,1047651464.4969072,18531790.43744708,GAS,2,1.0526315789473684
1060,0.53,89678877298.92586,-3.542394238542503,89678877295.38347,996431969.9880651,17625774.489997033,GAS,2,1.0526315789473684
1070,0.535,85294493089.45581,-3.5615508506801903,85294493085.89426,947716589.8828423,16764053.54403107,GAS,2,1.0526315789473684
1080,0.54,81124460852.0674,-3.5797091459187023,81124460848.48769,901382898.3563044,15944462.022721767,GAS,2,1.0526315789473684
1090,0.545,77158300947.88231,-3.577463262921084,77158300944.30484,857314454.9764701,15164940.224212782,GAS,2,1.0526315789473684
1100,0.55,73386046085.75645,-3.5814059973867076,73386046082.17505,815400512.0639606,14423529.145089835,GAS,2,1.0344827586206897
1110,0.555,69798216286.12425,-3.5550686831914393,69798216282.56918,775535736.5124917,13718365.559758551,GAS,2,1.0344827586206897
1120,0.56,66385795032.79173,-3.5547811057044916,66385795029.23695,737619944.808797,13047677.333149109,GAS,2,1.0344827586206897
1130,0.5650000000000001,63140206558.111465,-3.543676885634954,63140206554.56779,701557850.6456829,12409778.956381321,GAS,2,1.0344827586206897
1140,0.5700000000000001,60053293013.059006,-3.5476342503108684,60053293009.51137,667258811.2562112,11803067.059605945,GAS,2,1.0344827586206897
1150,0.5750000000000001,57117257745.84938,-3.538957811660124,57117257742.310425,634636197.1761042,11226009.26387056,GAS,3,1.0526315789473684
1160,0.58,54324619222.90845,-3.5428915908072534,54324619219.365555,603606880.2545383,10677135.124536404,GAS,3,1.0526315789473684
1170,0.585,51667991497.72259,-3.5384317027359966,51667991494.18416,574088794.4191399,10154992.983980019,GAS,3,1.0526315789473684
1180,0.59,49141637584.96035,-3.5351601096649494,49141637581.425186,546018195.3884484,9658455.276683493,GAS,3,1.0526315789473684
1190,0.595,46739003680.06363,-3.5409473970357306,46739003676.52268,519322263.1118181,9186233.89685735,GAS,3,1.0526315789473684
1200,0.6,44453936327.715126,-3.543666583530909,44453936324.17146,493932625.8635014,8737119.424648881,GAS,3,1.0526315789473684
1210,0.605,42280592510.334305,-3.5500898541120125,42280592506.78422,469784361.2259367,8309963.454623678,GAS,3,1.0526315789473684
1220,0.61,40213504350.77857,-3.5808117335541034,40213504347.19776,446816715.0086508,7903691.312644991,GAS,3,1.0526315789473684
1230,0.615,38247475895.452644,-3.585331750766991,38247475891.86731,424971954.3939183,7517281.769344954,GAS,3,1.0526315789473684
1240,0.62,36377566194.383255,-3.597323690898662,36377566190.785934,404195179.93759173,7149763.71453641,GAS,3,1.0526315789473684
1250,0.625,34599076132.11553,-3.790686959426344,34599076128.324844,384434179.24572814,6800213.568887549,GAS,3,1.0526315789473684
1260,0.63,32907536222.036465,-3.6058126957163585,32907536218.430653,365639291.3559607,6467752.885466854,GAS,3,1.0526315789473684
1270,0.635,31298695474.8858,-3.635635694300549,31298695471.250164,347763283.05428666,6151546.160867181,GAS,3,1.0526315789473684
1280,0.64,29768510751.249783,-3.5841716233832255,29768510747.66561,330761230.56944203,5850798.743659051,GAS,3,1.0526315789473684
1290,0.645,28313136520.44256,-3.779284414956576,28313136516.663273,314590405.7826951,5564754.820711869,GAS,3,1.0526315789473684
1300,0.65,26928915309.231647,-3.5442358055461596,26928915305.687412,299210170.1025739,5292695.540874965,GAS,2,1.0344827586206897
1310,0.655,25612368578.362488,-4.50899600079946,25612368573.853493,284581873.09291655,5033937.2204487715,GAS,2,1.0344827586206897
1320,0.66,24360187673.14345,-3.475410398474083,24360187669.66804,270668751.92381614,4787829.566162729,GAS,2,1.0344827586206897
1330,0.665,23169225760.83406,-3.600557541731643,23169225757.2335,257435841.78704512,4553754.089086699,GAS,2,1.0344827586206897
1340,0.67,22036489804.111134,-3.4341805913177175,22036489800.676952,244849886.71234593,4331122.52838901,GAS,2,1.0344827586206897
1350,0.675,20959133112.26828,-3.5213225206167484,20959133108.746956,232879256.8029809,4119375.386035315,GAS,2,1.0344827586206897
1360,0.68,19934448159.240696,-3.250852331557819,19934448155.989845,221493868.43600774,3917980.516499129,GAS,2,1.0344827586206897
1370,0.685,18959859999.139137,-3.2206526621406497,18959859995.918484,210665111.10154596,3726431.831314767,GAS,2,1.0344827586206897
1380,0.6900000000000001,18032919094.074512,-3.419966318540406,18032919090.654545,200365767.71193904,3544247.8904651897,GAS,2,1.0344827586206897
1390,0.6950000000000001,17151296035.14374,-3.0350296771028007,17151296032.10871,190569955.94604155,3370970.864851628,GAS,2,1.0344827586206897
1400,0.7000000000000001,16312775345.006283,-2.994831803951896,16312775342.011452,181253059.3889587,3206165.3169700056,GAS,2,1.0169491525423728
1410,0.705,15515249847.45868,-2.8999762247574288,15515249844.558702,172391664.9717631,3049417.095854048,GAS,2,1.0169491525423728
1420,0.71,14756715416.771221,-3.407671779946872,14756715413.36355,163963504.63079134,2900332.3039412796,GAS,2,1.0169491525423728
1430,0.715,14035265794.197512,-2.8011704669893374,14035265791.396341,155947397.71330568,2758536.279636132,GAS,2,1.0169491525423728
1440,0.72,13349087882.065756,-2.731895463588695,13349087879.33386,148323198.6896195,2623672.670320209,GAS,2,1.0169491525423728
1450,0.725,12696457120.868465,-2.703630029103024,12696457118.164835,141071745.7874274,2495402.525692771,GAS,2,1.0526315789473684
1460,0.73,12075733393.690128,-2.688016416724009,12075733391.002111,134174815.48544587,2373403.491926953,GAS,2,1.0526315789473684
1470,0.735,11485356770.626478,-2.7017594559237543,11485356767.924719,127615075.2291831,2257368.9753824444,GAS,2,1.0526315789473684
1480,0.74,10923843591.286997,-2.6934841457284757,10923843588.593513,121376039.90318885,2147007.3727147323,GAS,2,1.0526315789473684
1490,0.745,10389782719.939236,-2.7347104189283185,10389782717.204525,115442030.22154707,2042041.3347363241,GAS,2,1.0526315789473684
1500,0.75,9881831952.374557,-2.742895921083148,9881831949.631662,109798132.80416176,1942207.0603739612,GAS,2,1.0526315789473684
1510,0.755,9398714764.662807,-2.779776981969783,9398714761.88303,104430164.05180897,1847253.6574823065,GAS,2,1.0526315789473684
1520,0.76,8939217238.76442,-2.827294987970905,8939217235.937124,99324635.98627132,1756942.5387258804,GAS,2,1.0526315789473684
1530,0.765,8502184476.013875,-2.8905470285861368,8502184473.123328,94468716.40015417,1671046.7166128287,GAS,2,1.0526315789473684
1540,0.77,8086518576.494531,-2.9123438424044195,8086518573.582187,89850206.40549478,1589350.4064049071,GAS,2,1.0526315789473684
1550,0.775,7691174120.405481,-3.2392172436548345,7691174117.166265,85457490.22672758,1511648.1377411722,GAS,2,1.0526315789473684
1560,0.78,7315158027.932451,-3.0076055616482495,7315158024.924846,81279533.64369391,1437744.728022771,GAS,2,1.0526315789473684
1570,0.785,6957522855.11691,-3.1344206449085896,6957522851.98249,77305809.501299,1367453.9630499072,GAS,2,1.0526315789473684
1580,0.79,6617374902.029383,-3.0940295680328767,6617374898.935353,73526387.80032648,1300600.1924717717,GAS,2,1.0526315789473684
1590,0.795,6293841470.305706,-3.2368467763464905,6293841467.068859,69931571.89228562,1237011.893148988,GAS,2,1.0526315789473684
1600,0.8,5986140767.945204,-3.1882936980434753,5986140764.75691,66512675.19939116,1176535.409391307,GAS,2,1.0526315789473684
1610,0.805,5693480870.4269085,-3.219827575168733,5693480867.207081,63260898.56029899,1119015.0936528319,GAS,2,1.0526315789473684
1620,0.81,5415131736.230584,-3.247569158233098,5415131732.983015,60168130.402562045,1064307.4612791354,GAS,2,1.0526315789473684
1630,0.8150000000000001,5150391050.830408,-3.282212944054981,5150391047.548195,57226567.23144898,1012274.4771127601,GAS,2,1.0526315789473684
1640,0.8200000000000001,4898593520.353175,-3.2929796124092046,4898593517.060196,54428816.89281306,962785.3821785352,GAS,2,1.0526315789473684
1650,0.8250000000000001,4659106334.65653,-3.409004248905937,4659106331.247526,51767848.162850335,915715.801863864,GAS,2,1.0526315789473684
1660,0.8300000000000001,4431327648.428461,-3.3248660136862394,4431327645.103595,49236973.87142734,870947.4477385047,GAS,2,1.0526315789473684
1670,0.835,4214685037.009983,-3.4413965903384685,4214685033.5685863,46829833.74455537,828367.8133890209,GAS,2,1.0526315789473684
1680,0.84,4008634075.9986377,-3.430532448208256,4008634072.568105,44540378.62220708,787869.8960835823,GAS,2,1.0526315789473684
1690,0.845,3812744519.709379,1155.743963812472,3812745675.453343,42363827.99677088,749370.5493682239,GAS,2,1.0526315789473684
1700,0.85,3626427974.4511895,-3.366906830482875,3626427971.084283,40293644.160568774,712749.8820243237,GAS,2,1.0526315789473684
1710,0.855,3449140970.3872385,-3.691995729338106,3449140966.695243,38323788.5598582,677905.324974931,GAS,2,1.0526315789473684
1720,0.86,3280516540.851517,-3.4064299174459416,3280516537.4450874,36450183.78723908,644763.3384555037,GAS,2,1.0526315789473684
1730,0.865,3120136436.2350245,-3.5482679302902627,3120136432.6867566,34668182.624833606,613241.7177938685,GAS,2,1.0526315789473684
