Step,Kinetic,Potential,Total,Temperature
40,1109.1091711803585,-6.7312879175975615,1102.377883262761,7.39406114120239
80,1058.1831395865265,-6.545898575516592,1051.63724101101,7.054554263910177
120,1009.5503353806856,-4.651868186038663,1004.898467194647,6.730335569204571
160,964.8293960615548,-2.9182207670514737,961.9111752945033,6.432195973743699
200,925.7859713312563,-3.4999547687420423,922.2860165625143,6.171906475541709
240,890.8970437306458,-5.296189765169783,885.6008539654761,5.939313624870972
280,857.7982446873875,-6.167387925465288,851.6308567619222,5.7186549645825835
320,826.3602677193858,-6.114755249750482,820.2455124696353,5.509068451462571
360,796.8205184655985,-5.52225741030384,791.2982610552947,5.312136789770657
400,768.898926145122,-4.248578550789646,764.6503475943324,5.12599284096748
440,742.4184706730396,-2.2320934355885083,740.1863772374511,4.949456471153597
480,719.015052177619,-1.2805497058288768,717.7345024717902,4.793433681184127
520,699.4690131142308,-2.4756104303200157,696.9934026839109,4.663126754094872
560,681.4779151784551,-3.736550136075715,677.7413650423794,4.543186101189701
600,664.3120296379558,-4.414541196529349,659.8974884414264,4.428746864253038
640,645.5395184628265,-2.1023781753398847,643.4371402874866,4.303596789752177
680,626.435656659532,2.327263292959646,628.7629199524916,4.176237711063547
720,618.9836244906397,-4.151039080850623,614.8325854097891,4.126557496604264
760,605.7215140763458,-3.8862788216788156,601.8352352546669,4.038143427175639
800,593.5807068690505,-3.719105198048043,589.8616016710024,3.9572047124603364
840,582.6041308630968,-3.7926160861980462,578.8115147768988,3.884027539087312
880,572.605842283451,-4.005378997500756,568.6004632859502,3.8173722818896736
920,563.460932735296,-4.305544486047621,559.1553882492483,3.7564062182353064
960,555.0821041916149,-4.672897235552179,550.4092069560627,3.7005473612774327
1000,547.4148014280141,-5.108167063804681,542.3066343642095,3.649432009520094
1040,540.2820906027971,-5.486346074120246,534.7957445286769,3.6018806040186475
1080,532.1039240712661,-4.230847624343295,527.8730764469228,3.5473594938084405
1120,523.9606365725366,-2.2848303193094175,521.6758062532272,3.4930709104835773
1160,521.5999129697159,-5.7610887158854265,515.8388242538305,3.477332753131439
1200,516.5231569656652,-6.223155614091704,510.3000013515735,3.4434877131044344
1240,511.2738492876831,-6.08723938589192,505.1866099017912,3.408492328584554
1280,506.50255355899924,-6.028787806224927,500.4737657527743,3.376683690393328
1320,502.1255312042483,-6.001432954267036,496.1240982499813,3.3475035413616556
1360,497.626135063136,-5.499175293481054,492.12695976965495,3.3175075670875733
1400,492.5729043774339,-4.058232051674253,488.51467232575965,3.2838193625162257
1440,489.82681833280407,-4.593026326237789,485.23379200656626,3.2655121222186936
1480,487.5779579643148,-5.449490143046505,482.1284678212683,3.2505197197620985
1520,484.6911737099588,-5.457151944884886,479.23402176507386,3.2312744913997253
1560,481.9729510153407,-5.4072382989657655,476.56571271637495,3.213153006768938
